item_id,description,review
item_01,"Wireless bluetooth headphones with noise cancelling and long battery life","Amazing sound quality and the noise cancelling really works, love them"
item_02,"Over-ear bluetooth headphones with deep bass and comfortable fit","Great headphones, very comfortable for long listening sessions"
item_03,"Wired studio headphones with flat frequency response for mixing","Perfect for studio use, accurate sound and well built"
item_04,"Compact mechanical keyboard with RGB lighting and hot swap switches","Best keyboard I have ever used, typing feels incredible"
item_05,"Full size mechanical keyboard with quiet linear switches","Very quiet and smooth, great for the office"
item_06,"Ergonomic wireless mouse with adjustable DPI and long battery","Comfortable mouse, my wrist no longer hurts"
item_07,"Gaming mouse with high DPI sensor and customizable buttons","Fast and accurate, perfect for gaming"
item_08,"USB C laptop docking station with HDMI and ethernet ports","Stopped working after a week, very disappointing"
item_09,"Portable bluetooth speaker with waterproof design and rich sound","Terrible battery life and the sound is muddy"
item_10,"Smart home camera with night vision and motion detection","Cheap plastic and the app is buggy, would not recommend"
