text,label
"I absolutely loved this product, it works perfectly and feels great",positive
"Best purchase I have made all year, highly recommend it",positive
"Excellent quality and fast shipping, very happy with my order",positive
"This is amazing, exceeded all my expectations",positive
"Wonderful experience from start to finish, will buy again",positive
"Fantastic value for the money, super happy",positive
"Really impressed with the build quality, feels premium",positive
"Works exactly as described, very satisfied",positive
"Top notch service and a great product overall",positive
"Honestly the best one I have ever used",positive
"Five stars, absolutely brilliant",positive
"Love it, perfect for my needs",positive
"Terrible quality, broke after one week of use",negative
"Worst purchase ever, complete waste of money",negative
"Very disappointed, does not work as advertised",negative
"Awful experience, would not recommend to anyone",negative
"Total garbage, fell apart immediately",negative
"Hated it, returning it as soon as I can",negative
"Poor build quality, feels cheap and flimsy",negative
"Stopped working after a few days, very frustrating",negative
"Bad product and even worse customer service",negative
"Useless, does not do what it claims to do",negative
"One star, regret buying this",negative
"Horrible, save your money and buy something else",negative
